Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,0,7,31,302,38,340
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,1,9,22,170,31,201
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,2,0,23,124,23,147
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,3,9,31,85,40,125
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,4,9,27,114,36,150
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,5,5,22,254,27,281
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,6,18,34,485,52,537
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,7,11,33,465,44,509
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,8,16,60,701,76,777
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,9,26,72,1199,98,1297
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,10,39,66,1741,105,1846
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,11,40,87,2062,127,2189
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,12,59,108,2295,167,2462
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,13,55,94,2597,149,2746
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,14,83,105,2848,188,3036
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,15,70,123,3013,193,3206
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,16,95,131,3325,226,3551
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,17,85,132,3055,217,3272
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,18,63,138,2823,201,3024
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,19,53,190,2482,243,2725
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,20,58,221,2074,279,2353
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,21,29,209,1587,238,1825
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,22,23,175,1160,198,1358
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,23,22,153,485,175,660
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",2,0,13,118,263,131,394
ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",2,1,8,109,158,117,275
