,name,year,rating,metascore,votes
0,The Matrix,(1999),8.7,73,"1,624,599"
1,Black Panther,(2018),7.3,88,"589,932"
2,The Last Airbender,(2010),4.1,,"148,633"
3,Deadpool,(2016),8.0,65,"878,685"
4,Thor: Ragnarok,(2017),7.9,74,"560,394"
5,My Spy,(2020),6.3,,"14,491"
6,Spider-Man: Into the Spider-Verse,(2018),8.4,87,"330,286"
7,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,63,"998,872"
8,The Hunger Games,(2012),7.2,68,"828,150"
9,Guardians of the Galaxy,(2014),8.0,76,"1,019,721"
10,Deadpool 2,(2018),7.7,66,"457,312"
11,Solo: A Star Wars Story,(2018),6.9,62,"275,485"
12,Spider-Man: Far from Home,(2019),7.5,69,"300,394"
13,Raiders of the Lost Ark,(1981),8.4,85,"861,976"
14,X-Men: Days of Future Past,(2014),8.0,75,"648,558"
15,Zack Snyder's Justice League,(2021),,75,
16,The Karate Kid,(1984),7.2,,"169,153"
17,Léon: The Professional,(1994),8.5,64,"1,002,726"
18,Captain Marvel,(2019),6.9,64,"419,318"
19,Avatar,(2009),7.8,83,"1,098,110"
20,Captain America: The First Avenger,(2011),6.9,66,"720,714"
21,The Matrix 4,(2022),,94,
22,Ready Player One,(2018),7.5,64,"351,069"
23,Spider-Man: Homecoming,(2017),7.4,73,"490,973"
24,Baby Driver,(2017),7.6,86,"418,772"
25,F9,(2021),,86,
26,Contagion,(2011),6.7,70,"272,415"
27,The Lord of the Rings: The Return of the King,(2003),8.9,94,"1,597,886"
28,Thunderball,(1965),7.0,64,"102,617"
29,The Old Guard,(2020),6.7,70,"74,417"
30,Greyhound,(2020),7.1,63,"33,664"
31,Rogue,(I) (2020),,63,
32,The New Mutants,(2020),,63,
33,Tenet,(2020),,63,
34,The Gentlemen,(2019),7.9,,"167,446"
35,The Silencing,(2020),6.1,,"2,065"
36,Peninsula,(2020),6.0,,"1,020"
37,Project Power,(2020),,,
38,Midway,(2019),6.7,,"54,012"
39,Avengers: Endgame,(2019),8.4,78,"743,696"
40,Extraction,(2020),6.7,,"135,130"
41,Ford v Ferrari,(2019),8.1,81,"240,948"
42,Scott Pilgrim vs. the World,(2010),7.5,69,"365,835"
43,Harriet,(I) (2019),6.5,66,"15,835"
44,Inception,(2010),8.8,74,"1,989,068"
45,The Dark Knight,(2008),9.0,84,"2,231,048"
46,Jumanji: The Next Level,(2019),6.7,,"161,283"
47,The Hunt,(II) (2020),6.5,,"47,265"
48,Top Gun: Maverick,(2021),,,
49,Snowpiercer,(2013),7.1,84,"303,940"
50,Wonder Woman 1984,(2020),,84,
51,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.6,,"341,780"
52,X-Men: Apocalypse,(2016),6.9,,"382,988"
53,Avengers: Infinity War,(2018),8.4,68,"789,676"
54,No Time to Die,(2020),,68,
55,Guns Akimbo,(2019),6.3,,"28,410"
56,Mulan,(2020),,,
57,Terminator: Dark Fate,(2019),6.3,,"128,427"
58,The Batman,(2021),,,
59,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),6.1,,"127,798"
60,Aquaman,(2018),7.0,,"344,296"
61,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,"1,613,398"
62,Charlie's Angels,(2019),4.7,,"45,938"
63,Blade Runner 2049,(2017),8.0,81,"437,221"
64,The Dark Knight Rises,(2012),8.4,78,"1,474,163"
65,Bad Boys for Life,(2020),6.7,,"106,187"
66,Jurassic Park,(1993),8.1,68,"839,827"
67,6 Underground,(2019),6.1,,"126,923"
68,Train to Busan,(2016),7.5,72,"146,549"
69,Mad Max: Fury Road,(2015),8.1,90,"851,356"
70,John Wick,(2014),7.4,68,"516,756"
71,Ip Man 4: The Finale,(2019),7.1,62,"19,196"
72,Mission: Impossible - Fallout,(2018),7.7,86,"278,536"
73,Black Widow,(2020),,86,
74,Godzilla vs. Kong,(2021),,86,
75,Coma,(I) (2019),6.4,,"3,124"
76,Batman Begins,(2005),8.2,70,"1,272,338"
77,Jurassic World: Dominion,(2021),,,
78,X-Men: First Class,(2011),7.7,65,"635,240"
79,John Wick: Chapter 3 - Parabellum,(2019),7.5,73,"254,321"
80,Avengers: Age of Ultron,(2015),7.3,66,"719,538"
81,The King's Man,(2020),,66,
82,Hot Fuzz,(2007),7.8,81,"451,974"
83,V for Vendetta,(2005),8.2,62,"1,005,374"
84,Star Wars: Episode IV - A New Hope,(1977),8.6,90,"1,199,872"
85,The Eternals,(2021),,90,
86,Invasion,(2020),5.5,,"2,063"
87,Iron Man,(2008),7.9,79,"917,650"
88,Total Recall,(1990),7.5,,"294,106"
89,Logan,(2017),8.1,77,"623,660"
90,Ocean's 8,(2018),6.2,61,"174,659"
91,Shazam!,(2019),7.1,71,"237,673"
92,Free Guy,(2020),,,
93,Guardians of the Galaxy Vol. 2,(2017),7.6,67,"546,603"
94,Mission: Impossible - Rogue Nation,(2015),7.4,75,"333,117"
95,Sicario,(2015),7.6,82,"358,413"
96,Ghostbusters,(1984),7.8,71,"345,748"
97,Indiana Jones and the Last Crusade,(1989),8.2,65,"674,192"
98,Kill Bill: Vol. 1,(2003),8.1,69,"973,096"
99,Mission: Impossible - Ghost Protocol,(2011),7.4,73,"448,267"
100,X-Men,(2000),7.4,64,"560,341"
101,Line of Duty,(2019),5.3,,"4,016"
102,Patriots Day,(2016),7.4,69,"86,897"
103,Clash of the Titans,(1981),6.9,,"39,887"
104,Aliens,(1986),8.3,84,"636,899"
105,Captain America: Civil War,(2016),7.8,75,"640,878"
106,The Warriors,(1979),7.6,65,"91,367"
107,Spider-Man,(2002),7.3,73,"673,099"
108,Rio Bravo,(1959),8.0,93,"54,506"
109,American Fighter,(2019),4.5,,50
110,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,"545,066"
111,The Terminator,(1984),8.0,84,"781,081"
112,El Camino: A Breaking Bad Movie,(2019),7.3,72,"169,617"
113,Monster Hunter,(2021),,,
114,Blade Runner,(1982),8.1,84,"675,069"
115,Doctor Strange,(2016),7.5,72,"575,301"
116,Hell or High Water,(II) (2016),7.6,88,"196,815"
117,Triple Frontier,(2019),6.4,61,"100,565"
118,Casino Royale,(2006),8.0,80,"568,117"
119,Harry Potter and the Order of the Phoenix,(2007),7.5,71,"491,447"
120,Anna,(II) (2019),6.6,,"53,553"
121,Bad Boys,(1995),6.9,,"234,179"
122,Terminator 2: Judgment Day,(1991),8.5,75,"971,058"
123,The Revenant,(2015),8.0,76,"681,117"
124,Greenland,(2020),7.0,,13
125,Rogue One: A Star Wars Story,(2016),7.8,65,"536,074"
126,Atomic Blonde,(2017),6.7,63,"169,767"
127,Game Night,(I) (2018),6.9,66,"196,179"
128,The Bourne Identity,(2002),7.9,68,"497,366"
129,Wonder Woman,(2017),7.4,76,"532,839"
130,Seven Samurai,(1954),8.6,98,"306,245"
131,Pineapple Express,(2008),6.9,64,"309,735"
132,Avatar 2,(2022),,74,
133,Thor: Love and Thunder,(2022),,,
134,Harry Potter and the Half-Blood Prince,(2009),7.6,78,"455,528"
135,Ant-Man,(2015),7.3,64,"550,882"
136,Journey to China: The Mystery of Iron Mask,(2019),4.6,,"2,199"
137,Edge of Tomorrow,(2014),7.9,71,"583,670"
138,The Lord of the Rings: The Two Towers,(2002),8.7,87,"1,443,875"
139,Venom: Let There Be Carnage,(2021),,87,
140,Star Trek,(2009),7.9,82,"570,825"
141,Hanna,(2011),6.8,65,"187,472"
142,Die Hard,(1988),8.2,72,"765,208"
143,Ava,(IV) (2020),5.5,,276
144,Transformers,(2007),7.0,61,"587,797"
145,John Wick: Chapter 2,(2017),7.5,75,"349,243"
146,Oldboy,(2003),8.4,77,"498,439"
147,American Sniper,(2014),7.3,72,"427,665"
148,Apocalypto,(2006),7.8,68,"285,110"
149,Fantastic Four,(2015),4.3,,"148,475"
150,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,"842,801"
151,Kill Bill: Vol. 2,(2004),8.0,83,"665,362"
152,Arthur & Merlin: Knights of Camelot,(2020),3.0,,144
153,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,82,"1,127,693"
154,The Mummy,(2017),5.4,,"168,274"
155,Minority Report,(2002),7.6,80,"496,873"
156,Mortal Kombat,(2021),,80,
157,Bumblebee,(I) (2018),6.8,66,"129,110"
158,Uncharted,(2021),,66,
159,Star Trek Beyond,(2016),7.1,68,"222,217"
160,Spider-Man 4: Fan Film,(2020),,68,
161,The Nice Guys,(2016),7.4,70,"268,014"
162,Sicario: Day of the Soldado,(2018),7.1,61,"118,310"
163,Kingdom of Heaven,(2005),7.2,63,"261,828"
164,Iron Man 3,(2013),7.2,62,"737,267"
165,The Suicide Squad,(2021),,,
166,High Sierra,(1941),7.5,,"14,607"
167,Captain America: The Winter Soldier,(2014),7.7,70,"716,284"
168,The Hunger Games: Catching Fire,(2013),7.5,76,"601,283"
169,Incredibles 2,(2018),7.6,80,"237,593"
170,Natural Born Killers,(1994),7.3,74,"211,722"
171,Beverly Hills Cop,(1984),7.3,66,"158,647"
172,Furious 7,(2015),7.1,67,"352,379"
173,Upgrade,(2018),7.5,67,"142,574"
174,Black Water: Abyss,(2020),5.5,,73
175,21 Jump Street,(2012),7.2,69,"500,636"
176,Predestination,(I) (2014),7.5,69,"244,393"
177,The Incredibles,(2004),8.0,90,"640,409"
178,Serenity,(2005),7.8,74,"279,199"
179,Star Wars: Episode III - Revenge of the Sith,(2005),7.5,68,"691,811"
180,Lucy,(I) (2014),6.4,61,"431,978"
181,Mission: Impossible III,(2006),6.9,66,
182,Kong: Skull Island,(2017),6.6,62,"260,701"
183,The Italian Job,(2003),7.0,68,"336,359"
184,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,"275,864"
185,The Bourne Ultimatum,(2007),8.0,85,"596,298"
186,Lost Bullet,(2020),6.2,78,"4,869"
187,The Incredible Hulk,(2008),6.7,61,"424,783"
188,Tropic Thunder,(2008),7.0,71,"370,711"
189,Skyfall,(2012),7.7,81,"618,623"
190,First Blood,(1982),7.7,61,"220,508"
191,Fast & Furious 6,(2013),7.1,61,"362,192"
192,X2: X-Men United,(2003),7.4,68,"502,676"
193,Hellboy,(2019),5.2,,"73,610"
194,Spider-Man 2,(2004),7.3,83,"530,563"
195,The Matrix Reloaded,(2003),7.2,62,"504,299"
196,Goldfinger,(1964),7.7,87,"168,169"
197,Money Plane,(2020),3.3,,357
198,The Fugitive,(1993),7.8,87,"260,914"
199,Pacific Rim,(2013),6.9,65,"458,776"
200,World War Z,(2013),7.0,63,"588,125"
201,Batman Returns,(1992),7.0,68,"267,834"
202,Mad Max,(1979),6.9,73,"186,523"
203,The Other Guys,(2010),6.6,64,"236,968"
204,"Lock, Stock and Two Smoking Barrels",(1998),8.2,66,"522,406"
205,Men in Black,(1997),7.3,71,"505,177"
206,Looper,(2012),7.4,84,"524,540"
207,Hercules,(I) (2014),6.0,,"143,353"
208,Face/Off,(1997),7.3,82,"342,302"
209,Mandy,(I) (2018),6.6,81,"58,746"
210,3:10 to Yuma,(2007),7.7,76,"282,628"
211,The World's End,(2013),7.0,81,"252,501"
212,The Wolverine,(2013),6.7,61,"421,087"
213,RoboCop,(1987),7.5,67,"227,243"
214,King Kong,(2005),7.2,81,"383,303"
215,GoldenEye,(1995),7.2,65,"233,798"
216,Deepwater Horizon,(2016),7.1,68,"146,068"
217,Master and Commander: The Far Side of the World,(2003),7.4,81,"197,635"
218,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,"402,862"
219,Munich,(2005),7.5,74,"207,644"
220,Okja,(2017),7.3,75,"97,889"
221,Red Dawn,(2012),5.4,,"72,401"
222,Death Proof,(2007),7.0,,"262,727"
223,Big Hero 6,(2014),7.8,74,"399,237"
224,Everest,(2015),7.1,64,"192,162"
225,Enemy of the State,(1998),7.3,67,"223,125"
226,Ghost in the Shell,(2017),6.3,,"190,799"
227,Air Force One,(1997),6.5,61,"176,142"
228,I Am Legend,(2007),7.2,65,"672,181"
229,28 Days Later...,(2002),7.6,73,"368,217"
230,The Magnificent Seven,(1960),7.7,74,"85,583"
231,How to Train Your Dragon,(2010),8.1,75,"648,929"
232,Megamind,(2010),7.2,63,"221,903"
233,Friday Night Lights,(2004),7.2,70,"57,811"
234,Doctor Strange in the Multiverse of Madness,(2022),,70,
