,link,avgRating,tMeter,fresh,ratings
0,https://www.rottentomatoes.com/m/game_of_death_2020,5.77,56.0,15,27
1,https://www.rottentomatoes.com/m/milf_2018,3.19,14.0,1,7
2,https://www.rottentomatoes.com/m/greyhound,6.49,79.0,154,195
3,https://www.rottentomatoes.com/m/we_are_little_zombies,7.71,94.0,44,47
4,https://www.rottentomatoes.com/m/the_sunlit_night,4.92,35.0,17,48
5,https://www.rottentomatoes.com/m/tito,7.0,80.0,4,5
6,https://www.rottentomatoes.com/m/widow_of_silence,7.5,90.0,9,10
7,https://www.rottentomatoes.com/m/psych_2_lassie_come_home,8.36,82.0,9,11
8,https://www.rottentomatoes.com/m/samurai_marathon,6.7,75.0,6,8
9,https://www.rottentomatoes.com/m/carmilla_2020,6.32,65.0,13,20
10,https://www.rottentomatoes.com/m/guest_of_honour,5.29,37.0,21,57
11,https://www.rottentomatoes.com/m/the_painted_bird,7.56,81.0,66,81
12,https://www.rottentomatoes.com/m/dont_be_nice,7.35,100.0,10,10
13,https://www.rottentomatoes.com/m/volition,6.38,88.0,21,24
14,https://www.rottentomatoes.com/m/dirt_music_2019,4.69,28.0,9,32
15,https://www.rottentomatoes.com/m/first_cow,8.43,95.0,122,128
16,https://www.rottentomatoes.com/m/blessed_child,6.31,86.0,6,7
17,https://www.rottentomatoes.com/m/relic_2020,7.65,92.0,141,154
18,https://www.rottentomatoes.com/m/palm_springs_2020,8.06,94.0,159,170
19,https://www.rottentomatoes.com/m/enter_the_fat_dragon_2020,6.0,64.0,7,11
20,https://www.rottentomatoes.com/m/animation_outlaws,8.0,100.0,6,6
21,https://www.rottentomatoes.com/m/archive,6.98,74.0,17,23
22,https://www.rottentomatoes.com/m/the_old_guard,6.5,80.0,186,232
23,https://www.rottentomatoes.com/m/flannery,6.78,77.0,17,22
24,https://www.rottentomatoes.com/m/ode_to_passion,4.75,33.0,2,6
25,https://www.rottentomatoes.com/m/money_plane,3.94,25.0,3,12
26,https://www.rottentomatoes.com/m/useless_humans,5.43,40.0,4,10
27,https://www.rottentomatoes.com/m/never_too_late_2020,5.53,46.0,6,13
28,https://www.rottentomatoes.com/m/easy_does_it,3.34,29.0,2,7
29,https://www.rottentomatoes.com/m/a_nice_girl_like_you,4.21,11.0,1,9
30,https://www.rottentomatoes.com/m/fatal_affair_2020,3.71,18.0,6,33
31,https://www.rottentomatoes.com/m/showbiz_kids,7.88,94.0,17,18
32,https://www.rottentomatoes.com/m/caniba,6.21,59.0,19,32
33,https://www.rottentomatoes.com/m/burden_2020,6.05,51.0,34,67
34,https://www.rottentomatoes.com/m/what_she_said_the_art_of_pauline_kael,6.87,88.0,57,65
35,https://www.rottentomatoes.com/m/stardog_and_turbocat,5.08,50.0,5,10
36,https://www.rottentomatoes.com/m/knives_out,8.3,97.0,432,446
37,https://www.rottentomatoes.com/m/mope,6.28,53.0,9,17
38,https://www.rottentomatoes.com/m/the_short_history_of_the_long_road,7.0,89.0,25,28
39,https://www.rottentomatoes.com/m/you_dont_nomi,7.08,89.0,67,75
40,https://www.rottentomatoes.com/m/seahorse_the_dad_who_gave_birth_2019,7.6,100.0,16,16
41,https://www.rottentomatoes.com/m/this_teacher,8.5,100.0,7,7
42,https://www.rottentomatoes.com/m/babyteeth,7.62,92.0,93,101
43,https://www.rottentomatoes.com/m/black_ops_2020,6.62,67.0,6,9
44,https://www.rottentomatoes.com/m/exit_plan,5.16,38.0,10,26
45,https://www.rottentomatoes.com/m/miss_juneteenth,7.69,99.0,94,95
46,https://www.rottentomatoes.com/m/lost_in_america_2020,8.0,100.0,7,7
47,https://www.rottentomatoes.com/m/the_king_of_staten_island,6.84,73.0,188,258
48,https://www.rottentomatoes.com/m/ghosts_of_war,4.66,36.0,13,36
49,https://www.rottentomatoes.com/m/i_am_vengeance_retaliation,5.15,44.0,4,9
50,https://www.rottentomatoes.com/m/shoot_to_marry,6.81,75.0,12,16
51,https://www.rottentomatoes.com/m/return_to_hardwick,7.62,100.0,5,5
52,https://www.rottentomatoes.com/m/two_heads_creek,7.38,90.0,9,10
53,https://www.rottentomatoes.com/m/think_like_a_dog,6.07,70.0,7,10
54,https://www.rottentomatoes.com/m/the_dinner_party_2020,3.86,38.0,5,13
55,https://www.rottentomatoes.com/m/the_candy_witch,4.71,17.0,1,6
56,https://www.rottentomatoes.com/m/infamous_2020,4.45,22.0,6,27
57,https://www.rottentomatoes.com/m/the_departure_2020,3.95,50.0,3,6
58,https://www.rottentomatoes.com/m/manchild_the_schea_cotton_story,7.75,100.0,5,5
59,https://www.rottentomatoes.com/m/the_soul_collector_2020,6.46,73.0,8,11
60,https://www.rottentomatoes.com/m/daddy_issues_2020,4.12,0.0,0,7
61,https://www.rottentomatoes.com/m/feel_the_beat,5.33,46.0,6,13
62,https://www.rottentomatoes.com/m/you_should_have_left,4.94,41.0,43,106
63,https://www.rottentomatoes.com/m/the_pollinators,6.25,75.0,6,8
64,https://www.rottentomatoes.com/m/the_price_of_desire,4.69,25.0,3,12
65,https://www.rottentomatoes.com/m/the_infiltrators,7.28,87.0,27,31
66,https://www.rottentomatoes.com/m/premature_2020,7.73,92.0,46,50
67,https://www.rottentomatoes.com/m/judy_and_punch,6.62,79.0,103,131
68,https://www.rottentomatoes.com/m/diana_kennedy_nothing_fancy,7.89,100.0,33,33
69,https://www.rottentomatoes.com/m/olympic_dreams,6.08,70.0,33,47
70,https://www.rottentomatoes.com/m/feral_2020,7.9,100.0,12,12
71,https://www.rottentomatoes.com/m/lucky_grandma,7.45,96.0,45,47
72,https://www.rottentomatoes.com/m/and_then_we_danced,7.82,93.0,75,81
73,https://www.rottentomatoes.com/m/end_of_sentence,7.23,92.0,48,52
74,https://www.rottentomatoes.com/m/the_high_note,6.08,69.0,113,163
75,https://www.rottentomatoes.com/m/jesus_shows_you_the_way_to_the_highway,7.53,100.0,12,12
76,https://www.rottentomatoes.com/m/chameleon_2019,6.34,100.0,11,11
77,https://www.rottentomatoes.com/m/military_wives,6.26,76.0,85,112
78,https://www.rottentomatoes.com/m/shirley_2020,7.49,87.0,166,190
79,https://www.rottentomatoes.com/m/the_painter_and_the_thief,8.1,96.0,78,81
80,https://www.rottentomatoes.com/m/the_man_standing_next,7.88,75.0,6,8
81,https://www.rottentomatoes.com/m/the_dalai_lama_scientist,6.57,88.0,22,25
82,https://www.rottentomatoes.com/m/i_will_make_you_mine,6.97,100.0,18,18
83,https://www.rottentomatoes.com/m/villain_2020,6.23,74.0,17,23
84,https://www.rottentomatoes.com/m/aka_jane_roe,6.82,88.0,14,16
85,https://www.rottentomatoes.com/m/survive_the_night_2020,4.01,15.0,2,13
86,https://www.rottentomatoes.com/m/inheritance_2020,4.31,25.0,13,52
87,https://www.rottentomatoes.com/m/screened_out,6.43,82.0,14,17
88,https://www.rottentomatoes.com/m/dreamland_2020,5.82,50.0,16,32
